id;X;Y;Z;dist1;dist2;dist3
347;2.5;0;0.663399;4.677319;2.094733;4.677319
348;2.5;0;0.463399;4.877319;2.27781;4.877319
349;2.5;0;0.263399;5.077319;2.463521;5.077319
350;2.5;0;0.063399;5.277319;2.65131;5.277319
351;2.7;0;5.263399;0.077319;2.906507;0.077319
352;2.7;0;5.063399;0.277319;2.721818;0.277319
353;2.7;0;4.863399;0.477319;2.53945;0.477319
354;2.7;0;4.663399;0.677319;2.359941;0.677319
355;2.7;0;4.463399;0.877319;2.183995;0.877319
356;2.7;0;4.263399;1.077319;2.012548;1.077319
357;2.7;0;4.063399;1.277319;1.846852;1.277319
358;2.7;0;3.863399;1.477319;1.688602;1.477319
359;2.7;0;3.663399;1.677319;1.540094;1.677319
360;2.7;0;3.463399;1.877319;1.404423;1.877319
361;2.7;0;3.263399;2.077319;1.285658;2.077319
362;2.7;0;3.063399;2.277319;1.188878;2.277319
363;2.7;0;2.863399;2.477319;1.119797;2.477319
364;2.7;0;2.663399;2.677319;1.083724;2.677319
365;2.7;0;2.463399;2.877319;1.083961;2.877319
366;2.7;0;2.263399;3.077319;1.120484;3.077319
367;2.7;0;2.063399;3.277319;1.189957;3.277319
368;2.7;0;1.863399;3.477319;1.287056;3.477319
369;2.7;0;1.663399;3.677319;1.406068;3.677319
370;2.7;0;1.463399;3.877319;1.541927;3.877319
371;2.7;0;1.263399;4.077319;1.690578;4.077319
372;2.7;0;1.063399;4.277319;1.848937;4.277319
373;2.7;0;0.863399;4.477319;2.014716;4.477319
374;2.7;0;0.663399;4.677319;2.186228;4.677319
375;2.7;0;0.463399;4.877319;2.362225;4.877319
376;2.7;0;0.263399;5.077319;2.541775;5.077319
377;2.7;0;0.063399;5.277319;2.724176;5.277319
378;2.9;0;5.263399;0.106206;2.986548;0.106206
379;2.9;0;5.063399;0.286718;2.807131;0.286718
380;2.9;0;4.863399;0.48284;2.630684;0.48284
381;2.9;0;4.663399;0.681221;2.457846;0.681221
382;2.9;0;4.463399;0.880335;2.289437;0.880335
383;2.9;0;4.263399;1.079776;2.126508;1.079776
384;2.9;0;4.063399;1.279392;1.970419;1.279392
385;2.9;0;3.863399;1.479112;1.822927;1.479112
386;2.9;0;3.663399;1.678898;1.686291;1.678898
387;2.9;0;3.463399;1.87873;1.563359;1.87873
388;2.9;0;3.263399;2.078594;1.457602;2.078594
389;2.9;0;3.063399;2.278482;1.372996;2.278482
390;2.9;0;2.863399;2.478389;1.313633;2.478389
391;2.9;0;2.663399;2.678309;1.283022;2.678309
392;2.9;0;2.463399;2.87824;1.283222;2.87824
393;2.9;0;2.263399;3.07818;1.314219;3.07818
394;2.9;0;2.063399;3.278127;1.373931;3.278127
395;2.9;0;1.863399;3.478081;1.458835;3.478081
396;2.9;0;1.663399;3.67804;1.564837;3.67804
397;2.9;0;1.463399;3.878002;1.687965;3.878002
398;2.9;0;1.263399;4.077969;1.824758;4.077969
399;2.9;0;1.063399;4.277938;1.972373;4.277938
400;2.9;0;0.863399;4.477911;2.12856;4.477911
401;2.9;0;0.663399;4.677885;2.291567;4.677885
402;2.9;0;0.463399;4.877862;2.46004;4.877862
403;2.9;0;0.263399;5.077841;2.632928;5.077841
404;2.9;0;0.063399;5.277821;2.809417;5.277821
405;3.1;0;5.263399;0.283556;3.077524;0.283556
406;3.1;0;5.063399;0.389014;2.903734;0.389014
407;3.1;0;4.863399;0.549781;2.733529;0.549781
408;3.1;0;4.663399;0.730196;2.567625;0.730196
409;3.1;0;4.463399;0.918757;2.406909;0.918757
410;3.1;0;4.263399;1.111324;2.252493;1.111324
411;3.1;0;4.063399;1.306128;2.105763;1.306128
412;3.1;0;3.863399;1.502297;1.968439;1.502297
413;3.1;0;3.663399;1.69936;1.842624;1.69936
414;3.1;0;3.463399;1.897038;1.730832;1.897038
415;3.1;0;3.263399;2.095156;1.635938;2.095156
416;3.1;0;3.063399;2.293601;1.561027;2.293601
417;3.1;0;2.863399;2.492295;1.509079;2.492295
418;3.1;0;2.663399;2.691182;1.482509;2.691182
419;3.1;0;2.463399;2.890223;1.482682;2.890223
420;3.1;0;2.263399;3.089388;1.509589;3.089388
421;3.1;0;2.063399;3.288654;1.561849;3.288654
422;3.1;0;1.863399;3.488004;1.637036;3.488004
423;3.1;0;1.663399;3.687424;1.732167;3.687424
424;3.1;0;1.463399;3.886905;1.844157;3.886905
